1,Sky Sport F1 UK
2,Sky Movies Comedy HD
3,Sky Movies Sci-Fi & Horror HD
4,DISNEY CINEMAGIC
5,Nat Geo Adventure HD
6,Sat. 1
7,Sky Movies Drama & Romance HD
8,beIN SPORT2
9,Sky Movies Modern Greats HD
10,Universal HD
11,Syfy HD
12,EuroSport HD
13,CANAL+ CINEMA
14,Sky Cinema HD
15,DISCOVERY
16,FOX HD
17,History Channel HD
18,National Geographic Channel (Italia)
19,SIXX HD
20,kabel eins HD
21,Al Jazeera Sport Channel +1
22,Arte
23,Sky SuperCalcio HD
24,Sky Sport HD 1 DE
25,CANAL+ SPORT
26,MGM HD DE
27,Disney Channel HD DE
28,Sky Cinema Passion HD
29,RTL2 HD
30,Disney XD HD
31,N24 HD
32,Das Erste HD
33,Cinema Max HD
34,Discovery Channel  Italia HD
35,Comedy Central HD
36,France 2
37,TNT Serie HD_DE
38,Sky Bundesliga HD 1
39,Sky Uno HD IT
40,Hustler HD
41,Redlight HD
42,Sky Sport HD 2 DE
43,Fox Life (It)
44,The History Channel HD (It)
45,Sky Movies Thriller HD
46,Sky Movies Showcase HD
47,Al Jazeera Sport Channel +4
48,Sky Movies Premiere HD
49,CINE+ PREMIER
50,Cinema Cult HD IT
51,Sky Cinema Family HD
52,Sky Hits HD DE
53,W9
54,Pro Sieben
55,NRJ12
56,France 5
57,Sky Calcio 1
58,Sky Atlantic HD DE
59,Al Jazeera Sport Channel +2
60,Nat Geo Wild HD DE
61,Fox Italia
62,Fox Crime (Italia)
63,RTL HD
64,Vox
65,Cinema Classics HD
66,Discovery HD
67,Al Jazeera Sport Channel +3
68,Animal Planet HD
69,Gambero Rosso Channel HD IT
70,Disney Ch. HD IT
71,Sky Sport 1 HD IT
72,ZDF HD
73,NT 1
74,M6 HD
75,D8
76,Sky Action HD DE
77,Crime HD UK
78,VH1 Classic
79,MTV Dance
80,Sky Movies Family HD
81,Nat Geo Wild HD
82,Sky Cinema 1 HD
83,Sky Action HD
84,Nat Geo HD DE
85,Cinema Hits HD
86,Sky Sports 1 UK
87,Sky News HD
88,Nickelodeon HD
89,Sky Select HD UK
90,beIN SPORT1
91,CANAL+
92,France 3
93,Sky Sport F1 HD IT
94,Game ONE
95,Nickelodeon / Comedy Central
96,France O
97,ENCYCLO
98,MANGAS
99,Toute l Histoire
100,CHASSE & PECHE
101,ANIMAUX
102,AB MOTEURS
103,TF1
104,RTL9
105,Gulli
106,TMC
107,D17
